Carbohydrates
Fiber 
Fat
Saturated Fat
Omega-3 
DHA 
Protein
Calcium 
Copper 
Choline 
Chromium 
Iodine 
Iron 
Magnesium 
Phosphorus 
Potassium 
Vitamin A 
Vitamin B6 
Vitamin B12 
Folic Acid 
Thiamin 
Riboflavin 
Pantothenic Acid
Niacin 
Vitamin C 
Vitamin D 
Vitamin E 
Vitamin K 
Selenium 
Zinc 
Calcium 
Copper 
Choline 
Chromium 
Iodine 
Iron 
Magnesium 
Phosphorus 
Potassium 
Vitamin A 
Vitamin B6 
Vitamin B12 
Folic Acid 
Thiamin 
Riboflavin 
Pantothenic Acid (B5) 
Niacin 
Vitamin C 
Vitamin D 
Vitamin E 
Vitamin K 
Selenium 
Zinc 
